iter	Accuracy	MultiClass
684	0.821313066	0.4164904521
685	0.8212322122	0.4164425791
686	0.8212119987	0.4164278645
687	0.8213534929	0.4163617938
688	0.8213332794	0.4162410753
689	0.8213737063	0.4161690795
690	0.8213737063	0.4160521431
691	0.8214747736	0.4159551915
692	0.8214949871	0.4159311405
693	0.8215758409	0.4158983534
694	0.8216566947	0.4158554693
695	0.8216364812	0.4158404171
696	0.8216364812	0.415809409
697	0.8216364812	0.4157646351
698	0.8216769082	0.4157363453
699	0.8216769082	0.4156841851
700	0.8216971216	0.415640623
701	0.8216566947	0.4156013884
702	0.8216162678	0.4155741253
703	0.8218184023	0.415538179
704	0.8218386158	0.4154858288
705	0.8217375485	0.4154482178
706	0.821757762	0.4153783852
707	0.8219194696	0.4153418214
708	0.8218790427	0.4152925521
709	0.8219598965	0.4152272497
710	0.8219396831	0.41519839
711	0.8220811772	0.4151358693
712	0.822162031	0.4150381281
713	0.822202458	0.4149611147
714	0.8220811772	0.4149037765
715	0.8221013907	0.4148554099
716	0.8221013907	0.4148005214
717	0.8220609638	0.414752316
718	0.8221418176	0.4147295402
719	0.8221822445	0.4146488091
720	0.8222428849	0.4145789663
721	0.8222630983	0.4144602957
722	0.8222428849	0.4143976804
723	0.822162031	0.4143533583
724	0.8221216041	0.4143226273
725	0.8221216041	0.4142772755
726	0.8221216041	0.4142551894
727	0.8221822445	0.414225496
728	0.8223035252	0.4141055792
729	0.8223035252	0.4140973179
730	0.8222833118	0.4140543799
731	0.8223035252	0.4140032143
732	0.8223035252	0.4139867004
733	0.8222833118	0.4139760572
734	0.8222833118	0.4139141423
735	0.8222630983	0.4138623967
736	0.822162031	0.413838965
737	0.8222630983	0.4138015229
738	0.8222630983	0.4137574289
739	0.8223641656	0.4136520385
740	0.822424806	0.4135775329
741	0.822424806	0.4134545682
742	0.822424806	0.4134104378
743	0.822384379	0.4133825896
744	0.8224450194	0.41332348
745	0.8225460867	0.4132884284
746	0.8227280078	0.4132687433
747	0.8227482212	0.4132317582
748	0.8228088616	0.4131988358
749	0.822829075	0.4131488103
750	0.8228492885	0.4131010656
751	0.8227482212	0.4130611611
752	0.8226471539	0.4129941478
753	0.8226471539	0.4129221549
754	0.8227684347	0.4128722483
755	0.822829075	0.4128374139
756	0.8228492885	0.4128135026
757	0.8230716365	0.4127794094
758	0.8230312096	0.4127535174
759	0.8231120634	0.4127299578
760	0.8231727038	0.4126697287
761	0.8232131307	0.4126248666
762	0.8231524903	0.4125942773
763	0.8232131307	0.4124819072
764	0.8232131307	0.4124294628
765	0.823273771	0.4123693181
766	0.8233141979	0.4123258065
767	0.8233546248	0.4123111053
768	0.8233546248	0.4122791734
769	0.8234152652	0.4122579702
770	0.823496119	0.412159001
771	0.823496119	0.4120679254
772	0.8234759056	0.4119974514
773	0.8234354787	0.4119556164
774	0.8235365459	0.4119274747
775	0.8236376132	0.411813652
776	0.8236780401	0.4117911983
777	0.8237386805	0.4117218559
778	0.8236376132	0.4116242595
779	0.8237791074	0.4116140551
780	0.8237791074	0.4115539796
781	0.8237386805	0.4115089964
782	0.8237386805	0.4114816953
783	0.8237386805	0.4114428346
784	0.8238397477	0.4113849486
785	0.8237791074	0.4113553633
786	0.8238801746	0.4113056126
787	0.8239206016	0.4112935488
788	0.8238801746	0.4112663546
789	0.8240014554	0.4112330623
790	0.8239206016	0.4111337327
791	0.8239610285	0.4110889597
792	0.8239610285	0.4110602789
793	0.8240014554	0.4109537525
794	0.8240418823	0.4109324167
795	0.8240216688	0.4109060625
796	0.8240418823	0.4108539387
797	0.8240620957	0.4108115027
798	0.8240216688	0.4107581096
799	0.8240014554	0.4107384156
800	0.8240620957	0.410689331
801	0.8240620957	0.4106783629
802	0.8242035899	0.4106274384
803	0.8242440168	0.4106058265
804	0.8242440168	0.4105711053
805	0.8242035899	0.4104968587
806	0.8242035899	0.4104327651
807	0.8242440168	0.4103958776
808	0.8242642303	0.4103162808
809	0.8242440168	0.4102425521
810	0.8242035899	0.4102290781
811	0.8243046572	0.4101857195
812	0.8243652975	0.4101481764
813	0.8244057245	0.4100221869
814	0.8244663648	0.4099918431
815	0.824385511	0.4099616637
816	0.8244259379	0.40992664
817	0.8244057245	0.4098664955
818	0.8244865783	0.4098119529
819	0.8246482859	0.4096600462
820	0.8246684994	0.4095889971
821	0.8246482859	0.4095514106
822	0.8246280724	0.4095220571
823	0.824607859	0.4094953839
824	0.8246887128	0.4094630021
825	0.8247897801	0.4094034452
826	0.8249312743	0.4093100755
827	0.8249110608	0.4092019704
828	0.8249514877	0.4091726327
829	0.8249717012	0.4091440342
830	0.8249312743	0.4091020317
831	0.8249919146	0.4090807832
832	0.8249717012	0.4090491515
833	0.8249312743	0.4089900642
834	0.8251536223	0.4089617653
835	0.8250323415	0.4089269986
836	0.8250727684	0.4088987409
837	0.8250323415	0.4088757579
838	0.8251536223	0.4087738505
839	0.8251738357	0.4087252439
840	0.8252344761	0.4087076471
841	0.8251536223	0.4086161693
842	0.825052555	0.4085327026
843	0.8250727684	0.4084553883
844	0.8250727684	0.4084329075
845	0.8252344761	0.4083618495
846	0.8251940492	0.4083408734
847	0.8251536223	0.4083112892
848	0.8251334088	0.40827665
849	0.8251334088	0.4082523472
850	0.8251738357	0.4082382326
851	0.8252142626	0.408199303
852	0.8252344761	0.4081731977
853	0.8252142626	0.4081389906
854	0.8252951164	0.4081170347
855	0.8253153299	0.4080833798
856	0.8253153299	0.4080048353
857	0.8253355433	0.4079289261
858	0.8253153299	0.4078878248
859	0.8253759702	0.4078332687
860	0.8253759702	0.4077682306
861	0.8254163972	0.407721725
862	0.8253961837	0.4077050523
863	0.8253759702	0.4076982294
864	0.8254163972	0.4076718551
865	0.8254366106	0.4076156463
866	0.8254568241	0.4075362019
867	0.8253961837	0.4075024959
868	0.8254568241	0.4074696967
869	0.8254770375	0.4074540006
870	0.8253961837	0.4073864621
871	0.825497251	0.4073703444
872	0.8255578913	0.4073369682
873	0.8255578913	0.4072856985
874	0.8255781048	0.4072735501
875	0.8255781048	0.4071670309
876	0.8255376779	0.4071484829
877	0.8256387451	0.4070760197
878	0.8256993855	0.4069902776
879	0.8256791721	0.4069578776
880	0.825719599	0.4069510393
881	0.8256791721	0.4069070883
