iter	Passed	Remaining
1105	7437	6011
1106	7445	6005
1107	7451	5998
1108	7458	5992
1109	7465	5985
1110	7472	5979
1111	7480	5973
1112	7487	5966
1113	7494	5960
1114	7500	5953
1115	7508	5947
1116	7514	5940
1117	7520	5933
1118	7526	5926
1119	7533	5918
1120	7539	5912
1121	7545	5904
1122	7552	5897
1123	7558	5890
1124	7565	5883
1125	7571	5877
1126	7578	5870
1127	7585	5864
1128	7591	5857
1129	7598	5850
1130	7605	5843
1131	7612	5837
1132	7619	5830
1133	7626	5824
1134	7633	5817
1135	7639	5810
1136	7646	5803
1137	7653	5796
1138	7660	5790
1139	7666	5783
1140	7673	5777
1141	7680	5770
1142	7687	5763
1143	7694	5757
1144	7700	5750
1145	7707	5743
1146	7713	5736
1147	7721	5730
1148	7727	5723
1149	7734	5716
1150	7741	5710
1151	7747	5703
1152	7754	5696
1153	7761	5690
1154	7769	5683
1155	7775	5676
1156	7782	5670
1157	7788	5663
1158	7795	5656
1159	7801	5649
1160	7808	5642
1161	7814	5635
1162	7821	5628
1163	7827	5621
1164	7833	5614
1165	7840	5607
1166	7846	5601
1167	7853	5594
1168	7859	5587
1169	7865	5580
1170	7872	5573
1171	7879	5566
1172	7885	5559
1173	7892	5552
1174	7898	5545
1175	7904	5538
1176	7910	5531
1177	7916	5524
1178	7923	5517
1179	7929	5510
1180	7936	5503
1181	7942	5496
1182	7949	5489
1183	7955	5483
1184	7962	5476
1185	7968	5469
1186	7975	5462
1187	7981	5455
1188	7987	5448
1189	7993	5441
1190	8000	5434
1191	8006	5427
1192	8012	5420
1193	8019	5413
1194	8025	5406
1195	8031	5399
1196	8038	5392
1197	8045	5385
1198	8051	5379
1199	8058	5372
1200	8064	5365
1201	8071	5358
1202	8077	5351
1203	8084	5344
1204	8091	5338
1205	8097	5331
1206	8103	5324
1207	8110	5317
1208	8116	5310
1209	8122	5303
1210	8129	5296
1211	8136	5289
1212	8141	5282
1213	8148	5275
1214	8155	5268
1215	8161	5262
1216	8168	5255
1217	8175	5248
1218	8181	5242
1219	8188	5235
1220	8195	5228
1221	8201	5221
1222	8208	5214
1223	8214	5207
1224	8221	5201
1225	8227	5194
1226	8234	5187
1227	8240	5180
1228	8246	5173
1229	8252	5166
1230	8259	5159
1231	8265	5152
1232	8272	5145
1233	8278	5138
1234	8285	5132
1235	8291	5125
1236	8297	5118
1237	8304	5111
1238	8310	5104
1239	8317	5097
1240	8324	5091
1241	8330	5084
1242	8337	5077
1243	8343	5070
1244	8350	5063
1245	8356	5056
1246	8362	5049
1247	8368	5042
1248	8375	5035
1249	8381	5028
1250	8387	5022
1251	8393	5014
1252	8399	5007
1253	8405	5000
1254	8412	4993
1255	8418	4986
1256	8425	4979
1257	8431	4972
1258	8437	4966
1259	8444	4959
1260	8451	4952
1261	8457	4945
1262	8464	4939
1263	8471	4932
1264	8478	4926
1265	8485	4919
1266	8492	4913
1267	8498	4906
1268	8506	4899
1269	8511	4892
1270	8518	4886
1271	8525	4879
1272	8531	4872
1273	8538	4865
1274	8545	4858
1275	8551	4852
1276	8558	4845
1277	8565	4839
1278	8572	4832
1279	8578	4825
1280	8585	4818
1281	8591	4811
1282	8598	4805
1283	8605	4798
1284	8611	4791
1285	8618	4785
1286	8625	4778
1287	8632	4772
1288	8639	4765
1289	8645	4758
1290	8652	4751
1291	8659	4745
1292	8666	4738
1293	8672	4731
1294	8679	4724
1295	8686	4718
1296	8692	4711
1297	8699	4705
1298	8706	4698
1299	8713	4691
1300	8719	4685
1301	8726	4678
1302	8733	4671
1303	8739	4664
1304	8745	4657
1305	8751	4650
1306	8758	4643
1307	8764	4637
1308	8771	4630
1309	8777	4623
1310	8784	4616
1311	8790	4609
1312	8797	4602
1313	8803	4595
1314	8808	4588
1315	8814	4581
1316	8821	4574
